OTU_id	DC001	DC003	DC004	DC005	DC006	DC007	DC009	DC010	DC011	DC013	DC015	DC016	DC017	DC018	DC019	DC020	DC021	DC022	DC023	DC024	DC026	DC027	DC029	DC032	DC033	DC034	DC035	DC036	DC037	DC038	DC039	DC041	DC042	DC044	DC048	DC049	DC050	DC052	DC054	DC056	DC057	DC058	DC060	DC061	DC063	DC064	DC065	DC066	DC067	DC068	DC069	DC070	DC071	DC072	DC073	DC075	DC076	DC077	DC078	DC079	DC081	DC082	DC083	DC085	DC087	DC090	DC092	DC094	DC095	DC096	DC097	DC098	DC099	DC100	DC101	DC102	DC103	DC104	DC105	DC106	DC107	DC108	DC109	DC110	DC111	DC112	DC113	DC114	DC115	DC117	DC118	DC119	DC120	DC121	DC123	DC125	DC126	DC127	DC128	DC131	DC135	DC136	DC137	DC138	DC139	DC140	DC141	DC145	DC147	DC148	DC149	DC150	DC151	DC152	DC153	DC154	DC155	DC156	DC158	DC159	DC160	DC161	DC162	DC163	DC164	DC165	DC167	DC168	DC169	DC170	DC171	DC172	DC173	DC174	DC175	DC176	DC177	DC178	DC179	DC181	DC183	DC185	DC186	DC187	DC188	DC189	DC193	DC194	DC195	DC196	DC198	DC199	DC200	DC201	DC202	DC203	DC204	DC205	DC206	DC208	DC209	DC211	DC212	DC213	DC214	DC215	DC216	DC217	DC218	DC219	DC221	DC223	DC224	DC226	DC229	DC230	DC231	DC232	DC234	DC235	DC239	DC241	DC243	DC244	DC245	DC246	DC247	DC248	DC249	DC252	DC253	DC254	DC255	DC257	DC259	DC261	DC263	DC265	DC266	DC267	DC268	DC269	DC270	DC271	DC273	DC274	DC276	DC277	DC279	DC281	DC282	DC283	DC285	DC287	DC288	DC290	DC291	DC292	DC293	DC294	DC296	DC297	DC298	DC300	DC302	DC305	DC307	DC308	DC310	DC312	DC313	DC314	DC317	DC318
Actinomyces_oris	0	0	6012.074833	0	0	17222.522799	392.864053	1806.604544	0	3698.365194	0	2706.823806	0	0	0	0	0	0	1322.064636	7796.42553	0	1385.926443	99.551785	0	2874.644674	0	0	0	0	1548.287835	0	0	5302.298309	0	0	3640.2134	3947.898046	0	0	0	0	3854.832691	0	242.790509	0	144.105852	781.841523	0	12442.607629	0	0	5165.952122	0	0	0	2527.16645	0	0	0	0	649.006347	0	0	553.138117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	874.595582	0	235.766206	0	75.8111	0	0	1180.865392	4229.783664	0	0	11380.71012	0	1232.081931	0	0	0	0	0	0	0	0	0	12733.571426	0	0	0	0	2126.062338	0	0	416.123789	0	0	0	0	102.276922	2005.961095	0	0	0	0	0	0	0	0	0	909.186216	0	0	0	253.085836	1989.672992	0	0	3395.040834	0	0	0	2690.917497	0	1461.571272	0	204.533325	0	0	0	8607.176377	0	0	0	0	4281.836129	3437.719538	0	0	0	0	0	0	0	0	1627.833753	19536.359896	935.415619	0	4795.644762	0	2564.006686	0	0	0	0	0	0	0	0	0	0	0	8109.318465	5503.976965	0	5038.942995	431.729871	0	0	0	0	0	0	0	0	2460.146394	1268.750582	108.661172	0	0	0	1696.710931	0	2434.317717	0	0	0	0	2126.159921	0	0	260.512036	0	0	16233.554546	0	41057.127989	0	1114.867033	0	0	923.919108	342.225363	404.541648	2619.242274	1418.372509	2022.377457	1265.333813	5865.82344	899.303341	0	20130.917987	282.80585
Actinomyces_radicidentis	0	0	0	0	0	0	0	0	0	0	0	8628.247855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_sp_HMSC035G02	0	0	1139.180779	0	0	1481.223385	1948.238109	0	0	0	0	0	59.06961	0	0	0	0	0	3584.70262	0	0	0	0	0	712.44796	0	51.765971	0	0	0	0	0	0	1517.294286	0	1757.3444	0	0	0	0	0	861.823148	0	0	0	0	0	0	0	0	0	4553.805148	0	0	0	164.101718	4093.631053	0	0	0	938.902536	0	0	987.648109	0	0	645.205485	1051.458487	0	0	0	0	0	0	0	238.466655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.481576	0	0	0	0	0	0	0	0	0	0	0	0	111.938508	0	729.207401	0	0	0	0	222.281845	665.80108	0	228.9339	0	0	0	0	0	0	0	1417.284891	0	0	1217.765338	0	480.074516	628.424945	0	3911.449923	0	599.150933	379.914366	1275.130571	0	20597.918905	0	0	0	0	0	1647.865417	0	0	0	0	0	250.184441	0	0	0	0	0	0	623.043533	0	0	11459.72772	0	0	6645.321061	670.635282	7815.657577	149.562089	2729.797637	0	0	0	0	187.785737	0	0	0	0	2026.060155	309.009784	11966.679874	5872.017382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249.498358	0	0	0	0	0	2534.914713	0	1630.913612	0	0	0	0	0	10662.090201	0	2472.466856	275.254939	6042.220667	0	1188.595578	918.666332	0	276.424546	0
Actinomyces_sp_HPA0247	0	0	0	0	0	80594.636763	0	8123.903414	0	0	0	0	0	1026.203355	0	0	0	0	0	5984.945897	0	0	0	1740.46423	0	0	0	0	0	0	0	6269.654077	2238.595695	0	0	0	13467.118018	0	0	0	0	0	24659.880839	340.340267	0	321.836403	0	0	5851.52094	9780.248443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22645.81432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.698941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.858955	0	0	0	0	0	0	0	116.95068	0	0	2586.024138	0	0	0	0	563.106826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184.065295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1736.995267	0	0	0	0	0	0	0	0	0	0	0	31801.336652	0	524.705629	0	1546.410129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	834.237386	0	0	0	0	0	14716.185797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1141.640228	3321.9462	0	0	9896.22463	0	1455.022304	0	0	0	0	746.607444
Actinomyces_sp_ICM47	3176.752007	0	3276.3515	755.247272	0	0	12199.462686	1761.730282	0	3113.08864	0	0	3923.206597	0	0	3233.314578	0	0	28440.833264	0	0	0	0	0	0	0	12976.003498	0	0	0	81.953057	0	0	0	0	0	0	0	432.387074	0	4255.539484	1609.710354	3999.350348	292.649274	0	467.143137	3620.761229	0	0	0	0	0	0	0	0	0	0	0	0	7110.834363	0	0	0	3332.622669	0	0	0	0	0	0	0	0	0	0	847.262591	0	0	0	0	0	0	691.485202	0	261.829382	0	0	0	9762.784924	0	0	681.08004	0	0	587.670571	0	0	0	0	0	0	0	0	36498.011054	0	1869.833991	0	0	0	0	0	0	0	3397.417254	0	0	8014.740146	0	0	0	0	24215.305093	0	0	0	973.403697	0	0	5951.651159	923.640385	0	4533.677895	149.066125	0	1314.295517	0	13708.486168	0	9509.878431	0	0	0	6516.992586	30727.649159	23947.957633	10131.994652	0	0	0	0	0	0	460.831517	2019.47527	0	0	0	8029.067332	0	0	0	1271.215483	0	1543.861734	32884.490246	1326.887521	3600.712609	7859.109566	39672.331826	0	7547.354983	6388.560492	0	1247.411463	23007.345538	0	0	0	8775.386472	7785.151059	0	2327.812638	2375.50837	0	1157.74866	207.854115	0	6308.802911	0	0	5160.89474	2287.922767	0	0	0	0	0	0	0	7567.724857	0	3402.126839	0	36470.447985	593.956621	0	0	0	0	0	0	6245.239078	0	2216.043946	0	0	0	478.232739	0	0	1930.727582	0	11562.179831	1130.475042	22533.770049	5211.612403	2732.81849	0	1231.997018	5840.173878	0	1353.257899	640.44829	0	2585.976692
Actinomyces_sp_oral_taxon_170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2457.277985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3159.583404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_sp_oral_taxon_180	0	0	0	0	0	447.727976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_sp_oral_taxon_181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3141.400529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2872.561493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	811.260352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.065268	0	46.799798	0	0	0	0	0	0	0	0	0	0	0	776.931687	0	0	0	0	0	226.177606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	587.1332	0	0	0	0	0	2125.387861	0	2846.029897	0	0	0	0	0	0	0	0	0	0	0	613.929791	0	0	0	1048.108753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8600.753796	0	0	0	0	0	0	0	106.207871	0	0	0	0	0	0	0	0	0	0
Actinomyces_sp_oral_taxon_448	0	0	0	0	0	14069.221475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7508.94174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2098.113032	0	0	0	0	3972.86269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245.818233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470.199491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_sp_S6_Spd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490.28432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4894.809455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3842.306407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.329738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698.693926	0	0	0	0	0	0	0	0	0	0	0	0
