Sample	Input	Quality_controlled	Decontaminated	Entropy_filtered
DP398_UAB832_S1_L002	119898040	82650410	82492992	82485891
DP399_UAB832_S2_L002	92302398	64078050	63620974	63615839
DP400_UAB832_S3_L002	62366754	43815346	43762530	43758215
DP401_UAB832_S4_L002	57447646	40848656	40832446	40826963
DP402_UAB832_S5_L002	59728980	41871850	41771036	41764707
DP404_UAB832_S6_L002	55930120	39860112	39402560	39399010
DP405_UAB832_S7_L002	66499518	45688390	45634810	45629342
DP406_UAB832_S8_L002	61524794	39181188	38830850	38827254
DP407_UAB832_S9_L002	89736946	52004980	51988748	51984693
DP408_UAB832_S10_L002	90280214	62514776	62507100	62502110
DP409_UAB832_S11_L002	85112522	58665884	58628616	58623824
DP412_UAB832_S13_L002	63578746	45513096	45457518	45453873
DP413_UAB832_S14_L002	50293112	35339228	35336996	35333914
DP414_UAB832_S15_L002	60829954	40376978	40340866	40337299
DP415_UAB832_S16_L002	53350158	29348160	29343530	29340584
DP416_UAB832_S17_L002	76779688	50419424	50406574	50402466
DP418_UAB832_S18_L002	52917660	37693272	37305042	37302056
DP419_UAB832_S19_L002	23922200	16466482	16461218	16459832
DP420_UAB832_S20_L002	42093834	29974770	29961278	29959200
DP422_UAB832_S21_L002	34440580	24168312	24117850	24115616
DP423_UAB832_S22_L002	32437220	23022784	23019002	23016752
DP424_UAB832_S23_L002	38960652	27192794	27170530	27168154
DP427_UAB832_S24_L002	52142986	35182102	35151482	35148565
DP428_UAB832_S25_L002	92701836	63949156	63572838	63567362
DP430_UAB832_S26_L002	35465796	23484268	23482498	23480301
DP431_UAB832_S27_L002	42631518	30089706	30083568	30080439
DP432_UAB832_S28_L002	56016702	41551004	41521656	41518442
DP434_UAB832_S29_L002	28906908	19910398	19907038	19905059
DP436_UAB832_S30_L002	82809498	59090916	58953402	58948304
DP437_UAB832_S31_L002	86895698	58677812	58669662	58659425
DP438_UAB832_S32_L002	43578808	30066462	30023576	30020669
DP439_UAB832_S33_L002	82671460	56956332	56842458	56837920
DP440_UAB832_S34_L002	65657290	41344362	40909354	40905859
DP441_UAB832_S35_L002	68007726	39052276	39045610	39042864
DP443_UAB832_S36_L002	80514830	55927228	55858130	55853378
DP444_UAB832_S37_L002	31486412	20845326	20823120	20820620
DP445_UAB832_S48_L002	88190744	55459752	55435218	55431031
DP446_UAB832_S49_L002	83404114	59612490	59545942	59541416
DP447_UAB832_S50_L002	74279750	52440262	52056830	52052042
DP448_UAB832_S51_L002	69062632	49240826	49236950	49233227
DP449_UAB832_S52_L002	41607026	28080968	28062104	28059601
DP450_UAB832_S53_L002	45016794	31723868	31721242	31718387
DP451_UAB832_S54_L002	30660272	22066552	22045512	22043551
DP452_UAB832_S55_L002	35592730	23063162	23048970	23047187
DP453_UAB832_S56_L002	71881000	48354922	48342468	48338825
DP454_UAB832_S57_L002	59770012	36790928	36778476	36773364
DP455_UAB832_S58_L002	34801748	23170616	23168050	23164941
DP456_UAB832_S59_L002	49283114	34992628	34636210	34633437
DP458_UAB832_S60_L002	31069594	20218718	20112742	20110669
DP459_UAB832_S61_L002	68984760	46039620	46012282	46007259
DP460_UAB832_S62_L002	73349254	51692616	51215088	51210511
DP463_UAB832_S63_L002	84380258	58809498	58794836	58789330
DP464_UAB832_S64_L002	96200772	63205158	63183958	63178876
DP466_UAB832_S65_L002	86029704	59310270	59293356	59286659
DP467_UAB832_S66_L002	73579168	51797590	51681026	51674805
DP469_UAB832_S67_L002	42184300	29614458	29529324	29523415
DP470_UAB832_S68_L002	71873370	47806760	47804016	47799200
DP472_UAB832_S69_L002	69814860	50167622	49854924	49850408
DP473_UAB832_S70_L002	53709612	37463166	33184540	33181125
DP474_UAB832_S71_L002	79206620	54193926	54024750	54019688
DP476_UAB832_S72_L002	91482726	60267186	60255726	60247161
DP477_UAB832_S84_L002	76765466	54760300	54671364	54666039
DP478_UAB832_S85_L002	54767700	40552364	40544488	40540992
DP480_UAB832_S86_L002	61514246	44947122	44908690	44904638
DP483_UAB832_S87_L002	54213250	38258482	38252624	38249355
DP485_UAB832_S88_L002	78738718	54423270	54407798	54402802
DP486_UAB832_S89_L002	88152854	62096752	62069450	62063407
DP488_UAB832_S90_L002	50569768	36820460	36768022	36764221
DP489_UAB832_S91_L002	71312308	52858968	52845866	52841626
DP490_UAB832_S1_L003	65625240	47437180	47326576	47321785
DP491_UAB832_S2_L003	54745564	41423098	41384810	41380674
DP492_UAB832_S3_L003	48755792	36769142	36731538	36727936
DP493_UAB832_S4_L003	48227056	36783210	36769534	36765807
DP494_UAB832_S5_L003	61084018	45937564	45911834	45907691
DP495_UAB832_S6_L003	62142924	47279984	47271220	47266893
DP497_UAB832_S7_L003	74278766	54978012	54970936	54965465
DP498_UAB832_S8_L003	71052336	54812234	54787492	54782772
DP499_UAB832_S9_L003	63944152	49856750	49821854	49817252
DP500_UAB832_S10_L003	59758642	44838520	44829486	44825690
DP501_UAB832_S11_L003	50486128	38961430	38915022	38911880
DP502_UAB832_S12_L003	54687490	42992936	42863756	42860259
DP503_UAB832_S13_L003	44425354	34597918	34376130	34373164
DP504_UAB832_S14_L003	67469980	52078498	52062578	52057991
DP506_UAB832_S15_L003	43753406	33478606	33345950	33342076
DP507_UAB832_S16_L003	55619418	41835916	41822026	41817022
DP508_UAB832_S17_L003	56032512	42486312	42470684	42467017
DP509_UAB832_S25_L003	46839500	33977726	33914296	33911033
DP511_UAB832_S26_L003	59638758	43408732	43394560	43390728
DP513_UAB832_S27_L003	50342106	37916972	37910896	37907611
DP514_UAB832_S28_L003	54875882	41081824	41077576	41073755
DP515_UAB832_S29_L003	50221614	38244896	38128318	38125103
DP516_UAB832_S30_L003	68919242	52023446	52003900	51999203
DP518_UAB832_S31_L003	57890698	44507388	44483332	44479492
DP520_UAB832_S32_L003	61633008	46810832	46807890	46803767
DP523_UAB832_S33_L003	74973522	54609944	54524590	54519815
DP524_UAB832_S34_L003	64167110	48484100	48432736	48428982
DP525_UAB832V2_S96_L003	385006182	258537780	258233628	258208692
DP527_UAB832_S35_L003	71991202	55267982	55261202	55256448
DP528_UAB832_S36_L003	66417652	50656500	50630100	50625983
DP529_UAB832_S37_L003	54517000	41741940	41725652	41722128
DP530_UAB832_S38_L003	76595272	55662382	55644462	55639338
DP532_UAB832_S39_L003	72048586	54102172	54094560	54090212
DP533_UAB832_S40_L003	54801938	39690280	39685078	39680936
DP535_UAB832_S41_L003	71979842	54371674	54338918	54334134
DP537_UAB832_S42_L003	28748614	20852426	20826162	20824170
DP538_UAB832_S43_L003	55269998	42251788	42241014	42237435
DP539_UAB832_S44_L003	48137590	35300574	35216564	35213743
DP540_UAB832_S45_L003	58317430	44644640	44643174	44639372
DP541_UAB832_S46_L003	69961540	51419110	51406918	51401317
DP542_UAB832_S47_L003	69358024	50955922	50947862	50943046
DP544_UAB832_S48_L003	74446328	55615024	55579314	55573992
DP545_UAB832_S60_L003	62292400	46129664	46119136	46114907
DP546_UAB832_S61_L003	66254282	49342162	49309638	49304803
DP547_UAB832_S62_L003	62485360	47348328	47294974	47290251
DP548_UAB832_S63_L003	58350204	41939642	41874362	41869897
DP550_UAB832_S64_L003	59559842	40638480	40516808	40513027
DP552_UAB832_S65_L003	62084842	45760968	45347114	45342481
DP553_UAB832_S66_L003	61692422	46026172	46012806	46008032
DP554_UAB832_S67_L003	60355488	45156338	44925086	44920811
DP556_UAB832_S68_L003	54568932	40410686	40134408	40130902
DP558_UAB832_S69_L003	62302172	44618318	44583668	44579451
DP560_UAB832_S70_L003	60672310	45409044	45405040	45400606
DP562_UAB832_S71_L003	84673118	60372126	60365100	60359206
DP563_UAB832_S72_L003	65570216	48859732	48758672	48753899
DP564_UAB832_S73_L003	60043934	44149244	43868504	43864402
DP566_UAB832_S74_L003	59303066	43899916	43834158	43830270
DP567_UAB832_S75_L003	58300732	42619480	42613258	42609056
DP568_UAB832_S76_L003	56030572	41075584	41070010	41066385
DP569_UAB832_S77_L003	59366726	44420064	44405206	44401398
DP570_UAB832_S78_L003	61321620	44577144	44551418	44547055
DP571_UAB832_S79_L003	62824220	43990474	43920814	43916764
DP572_UAB832_S80_L003	56792648	42764324	42733908	42729908
DP574_UAB832_S81_L003	59445476	42982512	42730626	42726696
DP576_UAB832_S82_L003	61969308	46544128	46451932	46446755
DP577_UAB832_S83_L003	66105208	50258500	50182542	50177974
DP578_UAB832_S84_L003	51417206	38713718	38654760	38651066
DP579_UAB832_S1_L004	57255914	40772940	40765826	40761976
DP580_UAB832_S2_L004	70317342	49289906	49279284	49270123
DP581_UAB832_S3_L004	63725476	45778730	45754806	45749705
DP582_UAB832_S4_L004	51535802	35726774	35715736	35710367
DP585_UAB832_S5_L004	54451388	38819498	38775854	38771298
DP587_UAB832_S6_L004	44615760	32697134	32693048	32690090
DP589_UAB832_S7_L004	61508202	42924714	42919206	42915172
DP590_UAB832_S8_L004	65030672	43404248	43394640	43390199
DP591_UAB832_S9_L004	47990228	33168964	33160848	33158074
DP593_UAB832_S10_L004	39721386	27805952	27802822	27800097
DP594_UAB832_S11_L004	33560828	23972744	23969116	23967163
DP595_UAB832_S12_L004	17878792	12978772	12965058	12963983
DP596_UAB832_S13_L004	28226538	19985352	19977690	19976011
DP597_UAB832_S14_L004	36649442	27086330	27028116	27025866
DP598_UAB832_S15_L004	36919572	25719844	25688254	25686001
DP600_UAB832_S16_L004	68966738	47720240	47692402	47688432
DP601_UAB832_S17_L004	57284490	39404280	39354434	39350449
DP602_UAB832_S18_L004	43243948	29641656	29606410	29603469
DP603_UAB832_S19_L004	19009420	13136988	13121474	13120353
DP604_UAB832_S20_L004	25008698	15986896	15976854	15975132
DP605_UAB832_S21_L004	18488072	12786652	12731850	12730694
DP606_UAB832_S22_L004	56071172	38107982	38103024	38099644
DP607_UAB832_S23_L004	79175306	55115660	53926386	53919939
DP610_UAB832_S24_L004	22122016	14549674	14522380	14520554
DP611_UAB832_S25_L004	77630182	50782830	50692366	50686640
DP613_UAB832_S36_L004	50693240	35509794	35508628	35505333
DP615_UAB832_S37_L004	54612172	33978234	33744006	33741020
DP616_UAB832_S38_L004	51518926	37287556	37260772	37257426
DP618_UAB832_S39_L004	62460312	44228380	44217902	44213191
DP619_UAB832_S40_L004	51074422	35915396	35665030	35662132
DP620_UAB832_S41_L004	56246580	39968548	39951014	39947189
DP621_UAB832_S42_L004	68379702	49002560	48877732	48873028
DP622_UAB832_S43_L004	60963678	44836468	44815188	44810994
DP623_UAB832_S44_L004	42254602	31713284	31703608	31700988
DP624_UAB832_S45_L004	67614236	50105126	50072098	50067844
DP625_UAB832_S46_L004	74649250	55134324	54996162	54990996
DP626_UAB832_S47_L004	64694676	46892870	42918130	42914399
DP627_UAB832_S48_L004	57067734	43343290	43338300	43334655
DP628_UAB832_S49_L004	59096518	43145424	42872506	42869051
DP631_UAB832_S50_L004	74377278	54646840	54623414	54618784
DP632_UAB832_S51_L004	63205566	46663164	46504960	46501410
DP634_UAB832_S52_L004	57685960	43264590	43205586	43202070
DP637_UAB832_S53_L004	67126108	49677700	49617208	49613677
DP638_UAB832_S54_L004	57750444	43327870	43324150	43320456
DP639_UAB832_S55_L004	54899050	41653830	41639496	41636317
DP640_UAB832_S56_L004	51770988	37782930	37768374	37764965
DP641_UAB832_S57_L004	52494558	38041470	38033664	38029764
DP642_UAB832_S58_L004	58456932	43809788	43751062	43747615
DP644_UAB832_S59_L004	58353268	43738786	43729126	43725592
DP646_UAB832_S60_L004	40058526	29653840	29572732	29570377
SC0558_UAB832_S93_L004	57634520	41589740	41587200	41583763
SC0637_UAB832_S92_L004	58597414	43529848	43516202	43511998
SP1110_UAB832_S88_L004	64421726	46028842	46025288	46020628
SP1112_UAB832_S89_L004	62267228	47138560	47126210	47122105
SP1113_UAB832_S90_L004	48088652	36755342	36449866	36447387
SP1114_UAB832_S91_L004	69742880	52430402	52384836	52379954
