Sample	Input	Quality_controlled	Decontaminated	Entropy_filtered
DP094_S93_L001	39972708	28828658	28827210	28823151
DP095_S94_L001	41944588	30880582	30856540	30851502
DP096_S95_L001	36593890	26790536	26761072	26755733
DP098_S97_L001	46382204	34580908	34454038	34447829
DP100_S99_L001	42375778	31035932	30726470	30717704
DP101_S100_L001	44496042	33031300	32964044	32956114
DP103_S102_L001	40858380	30474288	30469964	30465677
DP104_S103_L001	44469490	33313838	33285066	33277593
DP107_S106_L001	41356638	30556406	30516290	30512498
DP108_S107_L001	41943568	31177270	31168924	31165652
DP109_S108_L001	45923292	33542488	33539436	33534547
DP110_S109_L001	34997682	26234162	26231964	26229332
DP111_S110_L001	36960036	26036306	25826848	25823872
DP112_S111_L001	50222566	30015518	30013370	30006784
DP114_S113_L001	45987274	32923296	32917738	32913233
DP115_S114_L001	38158712	27396130	27388652	27384045
DP116_S115_L001	38088826	27126598	27113972	27109666
DP117_S116_L001	39107918	28546010	28526188	28522048
DP119_S118_L001	34323380	24201812	24200956	24196395
DP120_S119_L001	40554848	29725316	29704102	29699266
DP121_S120_L001	36243722	26963380	26955462	26949339
DP122_S121_L001	43734290	32540584	32507794	32495106
DP123_S122_L001	55000876	39694258	39693424	39673048
DP124_S123_L001	39751366	29490470	29481328	29472190
DP127_S126_L001	38990318	28529942	28521108	28513122
DP130_S129_L002	34755656	25081872	25074576	25069994
DP131_S130_L002	42544038	29837910	29831578	29822736
DP132_S131_L002	43719616	31494410	31493266	31488424
DP135_S134_L002	39961334	28277468	28271952	28264370
DP136_S135_L002	43731550	32359910	32353016	32347049
DP137_S136_L002	51580184	38398092	38367016	38360163
DP138_S137_L002	42677406	31236686	31236004	31231051
DP139_S138_L002	40209858	29746072	29720228	29715476
DP143_S142_L002	43920486	31925548	31923550	31916533
DP144_S143_L002	48803280	36686062	36656586	36650541
DP146_S145_L002	44676738	33425694	33424474	33418614
DP147_S146_L002	45062626	33601566	33600020	33594173
DP148_S147_L002	48473366	36500900	36494028	36489855
DP149_S148_L002	51985644	39050042	39044652	39038138
DP150_S149_L002	48150938	35743158	35674036	35669014
DP151_S150_L002	35739630	25867306	25866374	25847929
DP152_S151_L002	49355582	37054962	37052300	37045894
DP153_S152_L002	34719128	25710716	25709810	25705020
DP154_S153_L002	36950070	27558706	27552508	27544410
DP155_S154_L002	43584770	32600250	32582710	32573245
DP156_S155_L002	41531526	30919182	30909564	30903295
DP157_S156_L002	44584080	33297660	33237520	33229054
DP158_S157_L002	38598042	27883304	27876572	27864658
DP159_S158_L002	36292826	26147134	26144952	26137827
DP160_S159_L002	47089174	36082140	35948456	35942822
DP161_S160_L002	39792916	30159174	30115788	30108588
DP162_S161_L002	30355060	22610922	22601722	22577822
DP164_S163_L002	28062814	20804280	20789850	20776408
DP165_S164_L002	39553658	29523338	29518530	29493560
DP166_S165_L002	40178178	30152634	30150972	30144108
