ET Within_ET_space
DC257_UAB832_S56_L003 ET_B TRUE
DC255_UAB832_S55_L003 ET_B TRUE
DC254_UAB832_S54_L003 ET_F TRUE
DC253_UAB832_S53_L003 ET_F TRUE
DC252_UAB832_S52_L003 ET_B TRUE
DC249_UAB832_S51_L003 ET_B FALSE
DC248_UAB832_S50_L003 ET_B FALSE
DC247_UAB832_S49_L003 ET_P FALSE
DC246_UAB832_S23_L003 ET_B TRUE
DC245_UAB832_S22_L003 ET_F TRUE
DC244_UAB832_S21_L003 ET_F FALSE
DC243_UAB832_S20_L003 ET_B TRUE
DC241_UAB832_S19_L003 ET_P TRUE
DC239_UAB832_S18_L003 ET_F TRUE
DC235_UAB832_S95_L002 ET_B TRUE
DC234_UAB832_S94_L002 ET_B FALSE
DC232_UAB832_S93_L002 ET_B TRUE
DC231_UAB832_S92_L002 ET_B TRUE
DC230_UAB832_S82_L002 ET_B TRUE
DC229_UAB832_S81_L002 ET_B TRUE
DC226_UAB832_S80_L002 ET_B TRUE
DC224_UAB832_S79_L002 ET_P TRUE
DC223_UAB832_S78_L002 ET_F TRUE
DC221_UAB832_S77_L002 ET_B TRUE
DC219_UAB832_S76_L002 ET_B TRUE
DC218_UAB832_S75_L002 ET_B TRUE
DC217_UAB832_S74_L002 ET_B TRUE
DC216_UAB832_S73_L002 ET_F FALSE
DC215_UAB832_S47_L002 ET_B FALSE
DC214_UAB832_S46_L002 ET_F TRUE
DC213_UAB832_S76_L004 ET_P FALSE
DC212_UAB832_S45_L002 ET_P FALSE
DC211_UAB832_S44_L002 ET_P TRUE
DC209_UAB832_S43_L002 ET_B TRUE
DC208_UAB832_S42_L002 ET_B TRUE
DC206_UAB832_S41_L002 ET_B TRUE
DC205_UAB832_S40_L002 ET_B TRUE
DC204_UAB832_S39_L002 ET_P TRUE
DC203_UAB832_S38_L002 ET_F FALSE
DC202_UAB832_S93_L001 ET_B TRUE
DC201_UAB832_S92_L001 ET_B TRUE
DC200_UAB832_S91_L001 ET_F TRUE
DC199_UAB832_S90_L001 ET_B FALSE
DC198_UAB832_S89_L001 ET_B FALSE
DC196_UAB832_S88_L001 ET_P TRUE
DC195_UAB832_S87_L001 ET_B TRUE
DC194_UAB832_S86_L001 ET_B TRUE
DC193_UAB832_S85_L001 ET_F TRUE
DC189_UAB832_S70_L001 ET_B TRUE
DC188_UAB832_S69_L001 ET_P FALSE
DC187_UAB832_S68_L001 ET_B TRUE
DC186_UAB832_S67_L001 ET_P FALSE
DC185_UAB832_S66_L001 ET_B TRUE
DC183_UAB832_S65_L001 ET_B TRUE
DC181_UAB832_S63_L001 ET_B TRUE
DC179_UAB832_S62_L001 ET_B FALSE
DC178_UAB832_S61_L001 ET_B TRUE
DC177_UAB832_S35_L001 ET_B TRUE
DC176_UAB832_S34_L001 ET_B FALSE
DC175_UAB832_S33_L001 ET_B TRUE
DC174_UAB832_S32_L001 ET_P FALSE
DC173_UAB832_S31_L001 ET_B TRUE
DC172_UAB832_S30_L001 ET_B TRUE
DC171_UAB832_S29_L001 ET_F FALSE
DC170_UAB832_S28_L001 ET_F TRUE
DC169_UAB832_S27_L001 ET_B FALSE
DC168_UAB832_S26_L001 ET_B TRUE
