ET Within_ET_space
DP084_S83_L001 ET_B TRUE
DP083_S82_L001 ET_B FALSE
DP082_S81_L001 ET_F TRUE
DP081_S80_L001 ET_B TRUE
DP080_S79_L001 ET_B FALSE
DP079_S78_L001 ET_B FALSE
DP078_S77_L001 ET_B FALSE
DP077_S76_L001 ET_B TRUE
DP075_S74_L001 ET_P TRUE
DP074_S73_L001 ET_B FALSE
DP073_S72_L001 ET_P TRUE
DP072_S71_L001 ET_F TRUE
DP071_S70_L001 ET_B FALSE
DP070_S69_L001 ET_F FALSE
DP069_S68_L001 ET_B TRUE
DP068_S67_L001 ET_B TRUE
DP067_S66_L001 ET_F FALSE
DP066_S65_L001 ET_B TRUE
DP065_S64_L001 ET_F TRUE
DP064_S63_L001 ET_B TRUE
DP063_S62_L001 ET_F TRUE
DP061_S61_L001 ET_F TRUE
DP060_S60_L001 ET_P TRUE
DP058_S58_L001 ET_B TRUE
DP057_S57_L001 ET_F FALSE
DP055_S55_L001 ET_F FALSE
DP054_S54_L001 ET_B FALSE
DP053_S53_L001 ET_F FALSE
DP052_S52_L001 ET_F TRUE
DP050_S50_L001 ET_F TRUE
DP049_S49_L001 ET_F FALSE
DP048_S48_L001 ET_B TRUE
DP047_S47_L001 ET_P TRUE
DP046_S46_L001 ET_P FALSE
DP045_S45_L001 ET_F FALSE
DP043_S43_L001 ET_B TRUE
DP042_S42_L001 ET_F FALSE
DP041_S41_L001 ET_F TRUE
DP040_S40_L001 ET_F TRUE
DP039_S39_L001 ET_F FALSE
DP038_S38_L001 ET_P TRUE
DP037_S37_L001 ET_F FALSE
DP035_S35_L001 ET_P TRUE
DP032_S32_L001 ET_F TRUE
DP031_S31_L001 ET_F TRUE
DP030_S30_L001 ET_F TRUE
DP029_S29_L001 ET_B TRUE
DP028_S28_L001 ET_F TRUE
DP027_S27_L001 ET_F FALSE
DP026_S26_L001 ET_B FALSE
DP025_S25_L001 ET_F TRUE
DP024_S24_L001 ET_B TRUE
DP022_S22_L001 ET_F FALSE
DP021_S21_L001 ET_B FALSE
DP020_S20_L001 ET_B FALSE
DP019_S19_L001 ET_B TRUE
DP018_S18_L001 ET_F FALSE
DP017_S17_L001 ET_F TRUE
DP014_S14_L001 ET_F FALSE
DP013_S13_L001 ET_F TRUE
DP012_S12_L001 ET_B TRUE
DP011_S11_L001 ET_F TRUE
DP009_S9_L001 ET_B TRUE
DP008_S8_L001 ET_F TRUE
DP007_S7_L001 ET_P TRUE
DP006_S6_L001 ET_B TRUE
DP005_S5_L001 ET_F FALSE
DP004_S4_L001 ET_F FALSE
DP003_S3_L001 ET_F TRUE
DP002_S2_L001 ET_B TRUE
DP001_S1_L001 ET_F FALSE
DC167_S379_L003 ET_B FALSE
DC165_S370_L003 ET_B TRUE
DC164_S369_L003 ET_B TRUE
DC163_S368_L003 ET_B TRUE
DC162_S367_L003 ET_F TRUE
DC161_S366_L003 ET_F TRUE
DC160_S365_L003 ET_B FALSE
DC159_S364_L003 ET_F FALSE
DC158_S363_L003 ET_B TRUE
DC156_S362_L003 ET_P TRUE
DC155_S361_L003 ET_P TRUE
DC154_S360_L003 ET_P FALSE
DC153_S359_L003 ET_P TRUE
DC152_S358_L003 ET_B TRUE
DC151_S357_L003 ET_P TRUE
DC150_S356_L003 ET_B TRUE
DC149_S355_L003 ET_B TRUE
DC148_S354_L003 ET_B TRUE
DC147_S353_L003 ET_F TRUE
DC145_S351_L003 ET_B TRUE
DC141_S347_L003 ET_B TRUE
DC140_S346_L003 ET_B TRUE
DC139_S345_L003 ET_F TRUE
DC138_S344_L003 ET_P TRUE
DC137_S343_L003 ET_B FALSE
DC136_S342_L003 ET_B TRUE
DC135_S341_L003 ET_B TRUE
DC131_S337_L003 ET_B FALSE
DC128_S334_L003 ET_F FALSE
DC127_S333_L003 ET_B TRUE
DC126_S332_L003 ET_F TRUE
DC125_S331_L003 ET_B TRUE
DC123_S329_L003 ET_B FALSE
DC121_S327_L003 ET_B TRUE
DC120_S326_L003 ET_B TRUE
DC119_S325_L003 ET_B TRUE
DC118_S324_L003 ET_F FALSE
DC117_S323_L003 ET_P TRUE
DC115_S322_L003 ET_P TRUE
DC114_S321_L003 ET_F FALSE
DC113_S320_L003 ET_P TRUE
DC112_S319_L003 ET_B FALSE
DC111_S318_L003 ET_B FALSE
DC110_S317_L003 ET_B FALSE
DC109_S316_L003 ET_F TRUE
DC108_S315_L003 ET_B FALSE
DC107_S314_L003 ET_B TRUE
DC106_S313_L003 ET_P TRUE
DC105_S312_L003 ET_B TRUE
DC104_S311_L003 ET_B TRUE
DC103_S310_L003 ET_F TRUE
DC102_S309_L003 ET_B TRUE
DC101_S308_L003 ET_B TRUE
DC100_S307_L003 ET_B TRUE
DC099_S306_L003 ET_B TRUE
DC098_S305_L003 ET_F TRUE
DC097_S304_L003 ET_F FALSE
DC096_S303_L003 ET_F TRUE
DC095_S302_L003 ET_F TRUE
DC094_S301_L003 ET_B FALSE
DC092_S299_L003 ET_B FALSE
DC090_S298_L003 ET_B TRUE
DC087_S295_L003 ET_P FALSE
DC085_S293_L003 ET_F TRUE
DC083_S291_L003 ET_B TRUE
DC082_S290_L003 ET_B TRUE
DC081_S289_L003 ET_B TRUE
DC079_S287_L003 ET_P TRUE
DC078_S286_L003 ET_B TRUE
DC077_S284_L003 ET_B TRUE
DC076_S283_L003 ET_F TRUE
DC075_S282_L003 ET_F FALSE
DC073_S281_L003 ET_P TRUE
DC072_S280_L003 ET_B TRUE
DC071_S279_L003 ET_B FALSE
DC070_S278_L003 ET_F FALSE
DC069_S277_L003 ET_B FALSE
DC068_S276_L003 ET_B TRUE
DC067_S275_L003 ET_F FALSE
DC066_S249_L002 ET_B TRUE
DC065_S246_L002 ET_F TRUE
DC064_S245_L002 ET_B TRUE
DC063_S240_L002 ET_B TRUE
DC061_S236_L002 ET_B TRUE
DC060_S233_L002 ET_F TRUE
DC058_S230_L002 ET_F TRUE
DC057_S228_L002 ET_P TRUE
DC056_S226_L002 ET_B TRUE
DC054_S225_L002 ET_B TRUE
DC052_S214_L002 ET_B TRUE
DC050_S212_L002 ET_B FALSE
